sentiment,text,data_id
positive,Best sock ever made. Consistent quality...I highly recommend Gold Toe  socks.,6
positive,It always makes the water taste so good,6
positive,Looks good but did not need.  Put into stock,6
negative,"Unit worked perfectly for approximately 6 days...then, it stopped cooling and went up to 68 degrees in both zones.  Unfortunately, no choice but to return, which is what the vendor suggested too!  Glad I forgot to recycle the packaging.<br /><br />Super disappointment!!!",6
positive,"They fit perfectly on my ancient General Electric range. They look great, better than the silver ones we had before, and will probably hide messes better!",6
positive,Grat value and work the same as the brand name. $$ saver.,6
negative,The brand new drum roller seized up already.  HUH???????<br />good thing that i saved the old ones(1 good and 1 bad)  the oldie but goodie<br />saved the day........zero recommendation for this product!!<br />The plus side is that i'm getting really good at taking apart and putting back together the dryer.,6
positive,The factory filter is very expensive. This does the same job at a reasonable price.,6
negative,DOES NOT SIT EVENLY ON STOVE. DOES NOT LOOK LIKE THE PICTURE. CHEAP LOOKING. NOT AS ADVERTISED. NOT ROUNDED OR COPPER COLOR LIKE IN THE PICTURE. THESE ARE GOLDISH FLAT TOP COVERS THAT DO NOT EVEN SIT EVENLY ON THE STOVE. THESE ARE TRASH. REALLY DISAPPOINTED I WASTED MY MONEY. SAVE YOURSELF DISAPPOINTMENT. DO NOT BUY.,6
positive,Looks great in the kitchen!,6
positive,Perfect fit and works great,6
positive,"This is the exact part I needed to fix my dryer.  Together with a little Youtube research, I was able to fix my dryer myself for a very low price!",6
positive,I love it no fingerprint in the handle of my microwave  on my refrigerator because it’s all stainless steel I recommended,6
negative,"It's as accurate as it suppose to be. My boveda 72 pack and my coil hygrometer that reads 73, are on the mark but this read 88. so I decided to do the salt test, and as u can see in pic. not even close. It would be OK if there was a way you could adjust it but you can't.",6
positive,I didn't expect to be happy with these. I was doubtful that these would be any good only because this 3 pack is just slightly less than the biying 1 name brand that Whirpool recommended.<br />But I can say I am very happy with these filters. They work just as well as that expensive name brand one. I'm definitely going to continue to buy these as long as I have my fridge.,6
negative,"Did not last 5 weeks, will not flow water.  Put old unit back in water valves are fine, it is this unit that quit flowing water to the icemaker.  Find another source, this unit has a POS problem.",6
positive,I got 6 on here for less than half of what Sears charged me for one!,6
positive,Received product quickly. Perfect fit. Took about 5 minutes to install. We only go through 1 set of filters per year and humidifier runs all winter.,6
positive,"These corner gaskets, along with a replacement door gasket, stopped the leak that was occurring in our 18-year-old GE dishwasher.  Installation is simply lifting out the old corner gaskets and dropping the new ones into the recess provided for them.  It would seem foolish not to replace them during a door gasket replacement.",6
positive,It works great for a year then I have to get another one. It's not that expensive then a new refrigerator. Glad I have a lifetime warranty this time.,6
positive,Love them easy to clean and the black looks so nice,6
positive,"They work well with the arduino..<br />with a raspberry pi I needed to try several python libraries before I found one that worked,<br />Update: the bcm2835 library and some example code I found allows this to work great with C code on the pi...<br /><br />But for the price of 2 I got 5 of these instead.",6
positive,It is what it says it is. Fits well with our Avanti portable drier and only complaint is that it's expensive for something that small and did not come in a sealed package but folded into a Manila envelope,6
positive,Works great and fit the way it is supposed to. Better than replacing our whole oven.,6
positive,best deal ever.  lg knobs for gas rannge were $39.99 each.  your knobs exact replacement,6
positive,Worked Perfect. Probably added 2 years to my fridge,6
negative,Water doesn’t seem to go thru it as well. Threw away the box after a few attempts,6
negative,"Dryer only runs for 5 minutes and doesn't blow hot air, not worth it",6
negative,Extremely disappointed that I had to leave a star rating for this at all.  Evening more disappointing was the product. We use these for animals we raise. Humidity was 15-20% different then all other hydrometers we use. Temperature was 5 to 10 degrees off at various times.  Always good to have an extra but this is nothing but garbage.,6
positive,"Simple design, good useful",6
positive,"The terminal ends were larger than the originals. This was easily fixed by grinding them down a bit with my dremel tool. First time using the new element, so far so good.",6
positive,Can't beat the price for these filters. They come individually wrapped which I appreciate. My coffee tastes better than ever and I can afford to change the filter more frequently. They work exactly as described.,6
positive,Reasonable cost. Fits and functions as advertised.,6
positive,They work as well as any other coffee filter.  However the size is hard to find for 4 cup drip pots.  These are the only ones I've found that fit.  A bit expensive but no choice.  As far as I know no others are made.,6
positive,Replaced original filter and was a perfect fit.,6
positive,Fits into Keurig good.,6
positive,"This affordable part purchased through Amazon for our washer regulates hot and cold water, it saved us a huge repair bill and it works perfectly! I got a few estimates and not one repair person was honest, none would give me an estimate or even availability of parts needed, we decided to watch some youtube videos and discovered the exact problem, once we found the part number we opened amazon prime and found the exact replacement part for a very affordable price, installing the part was difficult, but with simple household tools we were able to figure it out and our washer is working perfectly now, thanks amazon for helping us save lots of money.",6
positive,Fit perfect. Easy to install.,6
positive,Product is fine. Will use again.,6
positive,very good thank you and I will buy it again.,6
positive,Worked perfectly.  Easy to install.  Prevented me from having to purchase a new washer.,6
positive,Great countertop ice maker. Fits nicely in our bar area and fits in with our decor perfectly!,6
positive,Received it right away and was easy to install.,6
positive,Work and improved the appliance look.,6
positive,"Our main washing machine was breaking down and we needed something fast.  Saw this like machine and so far, it does seem to work.  I wouldn’t wash towels, heavy clothes or sheets in it, but for smaller loads, it does the job. Also needs attachments for older faucets.  Plus, the drain hose could be longer. Otherwise, it’s not a bad machine. I would recommend it.",6
positive,"My filter was leaking and I found this.  I was skeptical, but it got perfectly and fixed my problem.  Definitely recommend!",6
positive,"I BELIEVE THIS PRODUCT TO BE A BLESSING FOR THOSE OF US THAT WANT TO USE OUR OWN COFFEE PRODUCTS. I HAVE PURCHASED TWO AND SENT ONE TO MY SON (HE HAS A KUERIG), HE ALSO LOVES IT. THANK YOU FOR INVENTING THIS LITTLE POD.",6
positive,Nice and bright and shiny!,6
positive,"I bought these filters (I got the two-pack) because I forgot to bring my extra paper filters with me on a long trip. I have only used the ""fine"" filter so far, but it has been great! I can actually taste the difference in the coffee - it is less bitter and a little sweeter.<br />I used the tip in the Q&A section about sucking water back through it to clear out all the grinds from the holes. That works pretty well, but usually leaves one or two holes filled with grounds. Not a big deal to me since I use it every day. I do wish it was a little easier to just rinse and go though. I have not tried my ""super fine"" filter yet, so I don't know how easy it is to clean.",6
positive,"I used to have one of these and list it in the move.  I missed it.  Sure, I can make ice in my freezer, but this unit doesn't store the ice with everything else I'm freezing. The flavor is a good as the water I start with.<br /><br />There's just two of us.  We both like fresh ice but not messing with the trays.  In the time I've had this running I realized how convilient it is.  Plus I don't have to open the freezer everytime I'm getting ice for a drink.<br /><br />The unit hums quietly on a self in my kitchen. Always ready to brighten up a drink.<br /><br />So far it's running well and very efficient.  I can't even hear it until I'm in the kitchen.",6
positive,"Takes a good smack to install  , but works great",6
negative,This unit is not stainless steel. Try a magnet. A magnet will not stick to stainless steel. It sticks to this unit.<br />I paid for a stainless steel unit. Got ripped off.,6
negative,"The product looks fine....but just not sure how sanitary...came 300 in cardboard box without a plastic bag.<br />Do not know  where and how long the individual boxes are stored...spiders, dust etc may contaminate the product.  Opened one box, not sure if I will use or throw away.",6
positive,This is an exact fit for a older amana bottom freezer refrigerator. Cost 3 times less and works as well as oem.,6
negative,"This part did not come with the proper quality type of sealant. Once sealant was applied, a week later after 10 or so loads of laundry, water coming out of bottom of basket due to sealant chipping. It flaked and chipped off.",6
negative,"Seemed like a great deal, But the fit was not correct and there is no sensor on the filter and my fridge would not recognize the new filter as being installed.  The manufacturer did send some instructions ( the tinies font possible, with my cheaters on I could barely read the instructions) on how to bypass the sensor issue, but I chose to just not use the filters and get the real deal.  I am not one for voiding my warrantees.  Thanks but no thanks.",6
positive,"Just what I needed and as described. I was running out of filters and these were delivered quickly!<br />I started using the prefolded circle filters when I first got my Chemex and have never tried any of the other types - they work great for me, I don't notice any change in the taste of the coffee, and they are easy to use.",6
positive,with the help of my dad and you tube we were able to replace and save on the repair.  Highly recommend!,6
positive,"this is amazing. has super power, the low profile is amazing. Does require custom air vents (comes with some of it) for going through the roof. It is a awkward size, so order them in advance (they do sell them on amazon). It is loud at high setting, but you only use that setting when you need it. It is super powerful. I am not crazy about how the light cover fit, could be better, but not a big deal. Lights are easy to change (I bought LED lights, make sure they are dim-able). We really love this. It is super quiet (except on high). I look back on this purchase and cannot believe how happy I am. Again, the high power and low profile makes it very unique, and we got a great price on it too.",6
negative,We purchased a package of 3 filters about 6 months ago.The first filter was fine.  After the first 6 months I replaced it. The water starts coming out and then stops.  We read online and was told to soak the filter.  We tried to do that.  It worked for a few days and then started doing the same thing.  We tried the 3rd one and it does the exact same thing.  We are going back to using the authentic GE filters .  I guess you get what you pay for.  Very disappointed with basic Amazon brand and now it’s too late to return it 😞,6
negative,Pump took a crap after only 8 months; my original had lasted me 8 years.,6
positive,Purchased a new Maytag dishwasher on Black Friday at HH Gregg and the salesman recommended buying this cable to hookup that dishwasher since recent Whirlpool parent company units (Whirlpool Maytag Kitchenaide) use this new 3/4&#34; &#34;garden hose&#34; connection. oddly enough when I scanned the package at the appliance store it display another hose that was listed as 6&#34; even though it shared the same model number as this hose which is 6-feet not 6-inches.,6
positive,"Worked fine without issue. Came without any wiring, but installed directly without any adaptation; existing refrigerator connectors attached to motor connectors.",6
negative,Weird after taste post installation of water filter,6
positive,They are cheap enough to keep the coffee grinds out of my cup,6
positive,Fit perfectly. No drips or leaks.,6
negative,1*,6
negative,Too small. Period! I have GE Profile appliances and they are too small.,6
positive,"I cannot believe how fast ice cubes are made in this machine.  I love to make ice tea in my tea maker, but it always used all the ice in the freezer tray.  So, I got this machine and it makes ice fast.  It is not loud, it is easy to fill and take out the ice.",6
positive,My moms ice maker has been broken for years and always becomes a problem during the holidays. I planned ahead and bought her this table top ice maker to avoid driving around on a holiday (usually thanksgiving or christmas) looking for somewhere selling ice. Nothing worse than a warm cocktail lol. I’ll never have to worry again. I plugged this in the day before and it made enough ice for everyone to have their fair share of rum and cokes. I can’t believe I didn’t buy her this earlier. A great investment if your refrigerator doesn’t make ice or you need some additional volume.,6
positive,Excelente,6
positive,This was perfect! Snapped in with a snug & sturdy fit.,6
positive,Received on time and easily replaced old filter. Seems to be working very well.,6
positive,Fridge works like new again,6
negative,"Only a month old and already broken, would not but this ice maker again",6
negative,"This thing doesn't exhaust anything, on any setting. Avoid",6
negative,Does not work,6
positive,"I have used my own coffee in the Keuig ( Without the filters)  for a long time but when I started using the filters, my coffee tasted so much better. Smoother. Originally I ordered them so they would be less messy with the coffee grinds but keep ordering them because the coffee is better",6
positive,This fixed the problem with our dishwasher.  Much better quality than the plastic parts!,6
positive,Just had to do a little research to be sure I was getting correct one. Will buy again.,6
positive,Easy to install,6
negative,"Worked for a month, then started making noise like a gear was slipping. Replacement requested and sent. Replacement was DOA. Not wasting my time on anything else from this vendor.",6
positive,"We added a ducting system to this to vent it out the wall and it's great.  Not too noisy, no big signs to promote it's brand, fits the standard cabinet above it perfectly, has a light bulb so we can see what we're cooking... just great!",6
negative,I installed one of these less than 2 months ago. Over that time I used very little water and ice from my Samsung refrigerator. I was surprised to see the change filter light come on yesterday. I tested the water today with 2 different water testers. The readings were 111 and 112!<br /><br />Previous refrigerator water filters I've used lasted 6 months with a lot more water and ice usage,6
positive,Fit easily into place.. 10 min fix. So far so good. If I can get another 5 years it all worth it.,6
negative,"After 2 months of using this dishwasher about 5 times a week, it just stopped working. If it turns on after plugging it in, that’s the only thing that’ll happen. You can press any buttons it won’t run a cycle. Seeing the reviews of people having similar issues, it appears this item is made pretty cheaply. Luckily I’m able to return it to amazon and I will NOT be purchasing this brand again.",6
positive,Perfect filter,6
positive,This capsule works great very well made it takes some practice to get the right grind for it but it's definitely worth it,6
negative,"Brand new $5000 unit, everything is on, lights and fans and still won’t cool down. Ran for 24hr on propane and electric each. Still hot inside. Look at all the problems with these units on YouTube before buying one.",6
positive,Great product,6
negative,"Fit my dryer perfectly, but the belt broke after only 3 weeks.",6
positive,Perfect for what it is designed to do,6
positive,Fácil yrapido,6
positive,"Works fantastically.  I use this exclusively over the oven.  I notice people always complain about these taking forever to heat up.  The secret is to use cast iron with them.  If you are using aluminum pans, for instance, it will take a while because the specific gravity is higher than cast iron.  Most people who buy these did not pay attention in 5th grade science class.  If you want to be an energy hog go right ahead.  These things are fantastic.  Buy a cast iron skillet and pan if you are going to use this.  Otherwise, don't complain that your inferior pots and pans will not heat up.",6
negative,"It works, but it takes at least a minute to fill up an 8oz glass of water.",6
positive,"I got good info from another review on the part and trusted in it.. I ordered this part and it worked perfectly..I would not have bought it with reviews...it worked, easy fix,",6
negative,Very disappointed in this purchase. It does not fit my oven and arrived in horrible shape from terrible packaging. Would not recommend this.,6
positive,FIt our Whirlpool dishwasher perfectly - exact match to original part. No issues at all.,6
positive,"Glad I got these, another good buy.",6
positive,"Just what I needed to fix my GE dryer. This is labeled on Amazon as a dishwasher switch, but it's the same part as my GE dryer uses for the tension pulley switch.",6
positive,Love my ‘sonic’ ice!!! It’s a great machine.  It’s a bit loud at times but not enough to not like it.  We use it everyday to fill up large Yeti cups and never run out of ice.  Super easy to use just occasionally refill water reservoir which is super easy to do! It comes with a ice scoop which is handy.  Owned it for 2 months.,6
positive,Great value.  Fit refridgerator perfect.  Will buy again.,6
positive,They discolored the first time I turned the burner on. The finish came off in hot soapy water before I even wiped them.,6
positive,Very Good,6
negative,Feels like good product,6
positive,"After using the soloclip 2 for a few months it works great.  I have never had to remove the clip, though I have also never brewed a carfe in my machine so I don't know if it works for those.  It is a little tight with reusable cups but other than that I have no complaints.  I'm glad I can use other brands of cups, the keurig flavors really aren't my favorite compared to other brands.",6
positive,Just like we expected - does exactly what it says - it filters the water!,6
positive,Haven't had to buy a bag of ice since I got this little guy.  The ice melts faster than fridge ice but it makes is pretty quick too...,6
positive,"My parents used to have some Vietnamese coffee filters, and they were the best way to brew. This coffee filter more than lives up to my memories, partly because it comes in bigger sizes than we had so no need to refill it. If I had one complaint, it's that the screw down piece doesn't have a textured grip, so if you tighten it too much, it's challenging to get back off. Brews the best coffee though; more than worth the purchase.",6
positive,"Wow, what's there to say about this fine product? It's a lightbulb for a refrigerator. When I open the door, the light comes on and the cosmic glow of the universe greets me as I go to grab a burrito.",6
positive,"Easy fix, solved my problem.",6
positive,I wish I had a photo to share but our reno hasn't started yet.  This piece is solid and stunning.  I cannot wait to see it in my new kitchen!!,6
positive,Works great! Easy to use! Great for studio apartment and saving on washing close for a student on a budget!,6
positive,"I was trying to find a KitchenAid brand coffee maker water filter, but found these at a price I couldn't turn down.  I was worried they wouldn't fit my KitchenAid coffee maker, but they fit just fine.  Its hard to tell the difference with the original and the replacement filter as far as taste and filtration.  Maybe that just speaks for itself.  I would buy these filters again.",6
positive,Product is excellent works perfectly,6
positive,Everything was exactly as expected! Love the product and the price.,6
positive,I bought this for my son.  He loves it!!  In the past i have bought him K cups which can be costly.  I bought him many different brands and flavors.  Since he got this he has not used his k cups.  Now he uses his favorite coffee in this and he always says this is the best thing ever.  Oh if you are wondering he was only 18 when he first used this.  A year later he still loves it.,6
